Date,Hanimaadhoo,Hulhule,Kadhdhoo,Kaadedhdhoo,Gan
2021-02-03,34.40503,30.093628,32.099854,33.132812,33.15979
2021-02-04,32.798737,29.631317,30.35913,31.480743,31.804108
2021-02-05,33.579376,29.988068,30.713715,31.09143,31.101685
2021-02-06,30.850037,30.70578,31.00534,30.837433,30.71701
2021-02-07,30.95819,30.423553,30.475067,31.40628,31.856903
2021-02-08,31.733429,29.742126,30.408539,30.95346,31.303162
2021-02-09,33.36795,29.617859,30.6922,30.401917,31.38263
2021-02-10,30.810394,30.06186,30.339142,30.340485,30.51001
2021-02-11,33.074524,29.196045,30.077148,31.36914,32.220917
2021-02-12,31.121338,29.227905,31.36441,31.7594,34.298584
2021-02-13,31.611572,29.904114,32.297363,32.514954,33.657898
2021-02-14,32.056305,31.088287,32.638702,34.83783,35.393158
2021-02-15,30.997223,31.032654,31.14685,33.22583,35.21164
2021-02-16,32.84134,33.868927,34.52646,33.308044,32.72229
2021-02-17,33.588196,32.119537,32.319,34.40399,34.152313
2021-02-18,32.684814,31.087189,32.27661,33.238403,35.586395
2021-02-19,32.558716,30.216797,31.344055,32.502777,33.143707
2021-02-20,32.76825,30.39682,30.438263,30.672852,33.715332
2021-02-21,34.92383,32.64908,31.28952,32.591827,32.322906
2021-02-22,32.91922,31.483643,31.572815,30.463379,30.488098
2021-02-23,31.91449,30.122833,31.096588,31.190704,31.086487
2021-02-24,33.950836,31.237701,32.868164,33.8244,33.88858
2021-02-25,34.204865,30.790527,32.723602,34.24942,34.00998
2021-02-26,33.685394,33.334778,32.63437,32.48236,32.58423
2021-02-27,33.297028,34.302948,31.973053,32.80948,32.49646
2021-02-28,36.143158,35.755432,34.91333,35.06128,34.760437
2021-03-01,35.565765,34.446808,32.338593,32.746613,32.930817
2021-03-02,31.836853,31.117554,32.59854,32.443054,31.930481
2021-03-03,32.89502,30.161713,30.490997,31.43274,30.785156
2021-03-04,30.233795,31.354004,32.204468,31.884766,33.0737
2021-03-05,30.02591,31.540894,32.852478,33.316223,33.959778
2021-03-06,33.2005,33.25482,33.0896,34.220825,33.86017
2021-03-07,32.70706,31.507904,32.135162,32.789,33.526337
2021-03-08,33.18283,32.65909,33.35504,34.185516,33.47055
2021-03-09,30.52948,31.171875,34.934326,35.968414,35.947357
2021-03-10,31.145813,31.150848,34.817993,36.108337,35.400635
2021-03-11,32.009705,32.597076,31.377136,32.651917,33.632904
2021-03-12,30.719208,30.432343,31.814209,33.15866,34.721558
2021-03-13,31.11261,31.084198,32.47232,32.709015,33.10724
2021-03-14,33.34854,30.963959,32.270996,33.388824,34.369354
2021-03-15,31.844055,32.86322,34.590057,35.208313,34.90802
2021-03-16,33.714386,32.03247,34.013245,34.38434,33.184723
2021-03-17,35.19992,33.06909,32.488586,33.747467,34.38376
2021-03-18,34.51938,35.223724,34.366882,34.897125,34.102478
2021-03-19,35.203766,35.26877,35.177826,33.483856,31.584595
2021-03-20,33.55887,34.595703,33.473145,31.894165,30.324768
2021-03-21,33.707306,33.387604,32.899628,32.247467,32.00058
2021-03-22,34.394745,33.97879,34.906372,33.080505,31.83194
2021-03-23,33.872467,36.100952,35.224213,33.946503,32.865692
2021-03-24,34.04251,34.597534,33.853302,33.10965,31.575623
2021-03-25,32.054016,31.967438,33.902435,34.850433,34.33307
2021-03-26,33.525085,32.995575,33.61966,34.196686,36.011932
2021-03-27,34.476135,29.721954,33.2247,35.724823,34.099976
2021-03-28,34.17169,33.28482,33.330444,30.965912,30.224823
2021-03-29,31.573578,28.598633,27.912476,30.584198,31.611237
2021-03-30,36.317993,34.04077,31.088043,31.363983,31.178741
2021-03-31,36.191437,32.341766,31.234589,30.832794,31.161072
2021-04-01,32.834167,31.69516,30.879517,30.181824,30.910309
2021-04-02,31.538727,31.997406,30.695404,30.343536,31.014648
2021-04-03,32.003265,30.534912,30.36142,30.934052,30.999695
2021-04-04,31.401276,31.282257,30.247803,30.744598,30.899353
2021-04-05,32.081635,32.057587,31.51712,31.491486,31.059448
2021-04-06,32.63257,32.460114,32.292175,31.659302,31.722046
2021-04-07,34.8443,32.86017,32.73111,32.31665,31.063995
2021-04-08,34.0979,33.36081,31.423126,30.679901,30.659576
2021-04-09,33.508087,32.238983,31.639557,31.663757,31.008698
2021-04-10,36.657196,34.455933,32.478394,31.790619,31.987244
2021-04-11,36.43466,35.290466,33.00775,32.863647,32.491486
2021-04-12,36.246124,34.74063,33.05011,33.609802,32.1669
2021-04-13,35.596283,35.247253,33.963104,33.74655,32.93277
2021-04-14,35.636627,34.14673,34.631317,34.46805,34.763702
2021-04-15,34.422455,31.658936,33.793518,35.577057,35.32611
2021-04-16,34.65027,33.412292,35.246307,34.06833,33.529114
2021-04-17,36.63791,34.82257,33.96164,33.795624,34.395782
2021-04-18,34.350006,34.266968,32.61682,32.943268,33.360962
2021-04-19,33.195007,32.964844,35.00879,34.82312,35.00522
2021-04-20,33.09146,33.366608,32.502716,33.619537,34.55774
2021-04-21,34.638275,33.935364,34.507996,34.146973,34.415527
2021-04-22,33.577026,32.398773,33.65396,33.383392,34.47824
2021-04-23,31.982483,31.489807,31.720703,33.217346,33.1994
2021-04-24,36.078644,32.79541,33.457977,34.120575,35.242645
2021-04-25,36.029175,33.75638,32.96527,34.172424,34.50183
2021-04-26,36.909027,33.13675,34.22104,34.466614,34.2005
2021-04-27,35.423126,33.930695,35.610504,35.43512,35.554077
2021-04-28,35.404816,34.727814,35.59024,35.449463,34.96405
2021-04-29,34.506256,33.702515,34.361115,34.10959,31.843597
2021-04-30,34.08383,34.976105,36.560028,35.916046,33.985443
2021-05-01,36.307037,35.63925,36.94406,35.595123,34.222168
2021-05-02,35.96402,35.95273,36.352478,35.847992,36.272064
2021-05-03,35.4234,33.52594,32.372437,31.988281,31.854523
2021-05-04,35.042206,34.045685,35.84494,36.383667,35.799957
2021-05-05,35.283783,36.368164,36.052094,36.217133,36.63623
2021-05-06,36.515106,35.515778,34.26288,35.21646,36.030884
2021-05-07,35.265656,33.358246,35.214996,34.944244,35.085815
2021-05-08,36.235504,36.74991,35.689972,35.587097,35.22049
2021-05-09,34.299164,33.445404,34.73181,34.553864,34.469177
2021-05-10,33.99402,33.716248,33.84497,32.57718,33.329926
2021-05-11,31.811646,29.790558,27.25418,29.826141,33.900177
2021-05-12,28.016968,27.46222,29.469055,27.942444,29.183594
2021-05-13,27.199188,30.430115,30.312714,32.72937,30.12793
2021-05-14,27.894287,30.0802,30.23404,30.702118,32.457214
2021-05-15,30.584106,28.864899,29.32312,29.722168,28.794952
2021-05-16,31.448578,31.68158,32.487488,31.955566,31.933838
2021-05-17,32.091125,33.335968,34.81598,33.87976,34.940704
2021-05-18,31.85263,32.9993,35.665863,36.373627,36.782745
2021-05-19,31.31137,32.291016,34.216522,35.035828,36.12146
2021-05-20,31.613678,31.651733,33.232025,34.303497,35.673737
2021-05-21,30.90805,31.705017,32.897034,34.468964,35.776306
2021-05-22,30.386658,30.639587,32.163605,33.60849,34.337982
2021-05-23,32.13684,31.843231,31.372833,32.256805,32.770233
2021-05-24,30.619354,30.566193,31.330322,31.557617,32.56006
2021-05-25,27.85321,30.40036,30.899506,30.75113,30.782623
2021-05-26,28.832184,30.842499,30.434082,30.906158,30.279968
2021-05-27,28.841217,30.010986,30.680023,31.135956,30.818726
2021-05-28,30.08908,29.125,30.997406,30.901398,28.71579
2021-05-29,30.717285,30.066132,29.21106,28.805298,28.827026
2021-05-30,30.031006,30.289398,29.788269,28.83551,28.535095
2021-05-31,30.493134,30.746002,30.821167,30.002747,30.712646
2021-06-01,30.696075,30.873169,30.718567,31.086945,31.018555
2021-06-02,30.511047,30.667511,30.600159,30.773163,30.606873
2021-06-03,29.943665,30.48642,30.396637,30.419159,29.951141
2021-06-04,30.750153,30.186829,30.694275,30.451172,30.297485
2021-06-05,30.93866,31.073456,30.76712,28.38681,29.376282
2021-06-06,29.908203,30.819366,29.907562,33.52661,32.062317
2021-06-07,29.26535,30.440277,30.538757,31.485931,31.520874
2021-06-08,30.201477,30.542053,30.9935,32.114563,32.740173
2021-06-09,30.316498,30.839508,32.048157,32.19232,33.597748
2021-06-10,30.621155,31.239868,32.43988,32.933136,33.485596
2021-06-11,31.180603,31.18341,31.645294,31.581085,32.227264
2021-06-12,30.512695,31.220459,31.416779,32.283234,31.625122
2021-06-13,30.12259,30.517181,31.714203,31.740265,31.336609
2021-06-14,30.77295,30.938904,32.285553,34.26184,32.534454
2021-06-15,30.240845,30.637726,33.234283,33.951447,34.51065
2021-06-16,31.008057,31.1846,32.029144,32.39279,33.144073
2021-06-17,31.026611,31.895325,33.24646,33.600433,33.862274
2021-06-18,30.773804,32.197235,33.842834,34.306305,33.358612
2021-06-19,30.83551,31.066101,32.661224,33.658478,33.836487
2021-06-20,30.904083,30.773438,31.817322,32.22409,31.844543
2021-06-21,30.602203,30.982727,31.025421,32.761444,32.58673
2021-06-22,30.140228,31.110535,31.208862,32.060516,33.097656
2021-06-23,30.960754,30.394897,30.161926,31.61325,32.300262
2021-06-24,29.5029,30.358337,32.789795,32.85736,32.136597
2021-06-25,30.99527,30.8591,31.804443,32.89566,32.731995
2021-06-26,30.529846,30.82724,30.675323,31.554962,31.66986
2021-06-27,29.309265,30.084564,32.309418,32.854736,32.86319
2021-06-28,29.61679,28.868347,33.031555,34.720825,34.269714
2021-06-29,30.608887,30.88272,32.516846,33.657623,33.634552
2021-06-30,30.48462,31.306671,31.55606,31.933807,31.553131
2021-07-01,30.462402,30.615448,31.224945,30.63974,30.685425
2021-07-02,30.55539,30.484955,30.976288,31.505615,32.48636
2021-07-03,30.688507,30.334534,28.795685,29.51361,29.651672
2021-07-04,30.604065,31.268402,32.735962,33.757538,34.720795
2021-07-05,30.32257,30.08374,31.41278,31.622406,32.45581
2021-07-06,30.385254,30.290009,30.982452,30.673615,31.149689
2021-07-07,30.310303,29.981476,31.234955,31.971008,32.182526
2021-07-08,30.377045,30.262634,30.869446,30.838745,30.312714
2021-07-09,27.740875,26.278534,30.862122,31.679169,31.031067
2021-07-10,28.418701,29.98822,29.986023,31.493683,31.862549
2021-07-11,30.960968,30.55481,31.754486,32.662903,33.550293
2021-07-12,30.665863,31.713867,32.099457,33.93643,34.252563
2021-07-13,31.43982,31.470276,34.994537,35.424805,34.306396
2021-07-14,31.425323,32.270233,35.960724,34.750732,34.56366
2021-07-15,32.447357,34.868774,33.669617,32.924835,31.522339
2021-07-16,32.582214,33.725952,34.016907,33.68335,32.83081
